Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter,Compression
Enbridge East Texas System Extension,Enbridge Energy Pipeline Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,465,190,700,36,
Big Sandy Pipeline Phase I,Equitrans,New Pipeline,Interstate,Completed,KY,Southeast,FERC,CP06-275,6/26/2009,2008,01/01/2008,60,68,70,20,
Gulfstream Pipeline Phase 4 (Bartow),Gulfstream Natural Gas System,Expansion,Interstate,Completed,"AL,FL",Southeast,FERC,CP07-51,6/26/2009,2008,01/01/2008,117,18,155,20,
Millennium Pipeline 2008,Millennium Pipeline,New Pipeline,Interstate,Completed,NY,Northeast,FERC,CP98-150,6/26/2009,2008,01/01/2008,664,182,525,"30,24,14",
MIGC Southern (Python) Expansion,MIGC Inc.,Expansion,Interstate,Completed,WY,Central,FERC,CP07-178,6/26/2009,2008,01/01/2008,4,,45,,
Hoback Pipeline Energy Project,Lower Valley Energy Coop,New Pipeline,Intrastate,Completed,WY,Central,State,na,6/26/2009,2008,01/01/2008,20,50,6,6,
KM Tejas/Texas Pipeline Link,Kinder Morgan Energy Partners,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,72,58,225,24,
KM Rockies Express (REX-West),Rockies Express Pipeline,New Pipeline,Interstate,Completed,"CO,NE,KS,MO",Central,FERC,CP06-354,6/26/2009,2008,01/01/2008,1930,718,1500,"42,24",
KM 2008 Grand Island Expansion,Kinder Morgan Energy Partners,Expansion,Interstate,Completed,NE,Central,FERC,na,6/26/2009,2008,01/01/2008,23,26,22,"16,12",
KM Colorado Lateral Project,Kinder Morgan Energy Partners,Lateral,Interstate,Completed,CO,Central,FERC,CP07-430,6/26/2009,2008,01/01/2008,30,41,74,12,
Iroquois Market Access Project,Iroquois Pipeline Co,Expansion,Interstate,Completed,"CT,NY",Northeast,FERC,CP02-31,6/26/2009,2008,01/01/2008,42,,100,,
Cannon Falls NG Pipeline Project,Greater Minnesota Transmission,Lateral,Intrastate,Completed,MN,Midwest,State,na,6/26/2009,2008,01/01/2008,7,13,91,16,
Iroquois 08/09 Expansion Phase 1,Iroquois Pipeline Co,Expansion,Interstate,Completed,"NY,CT",Northeast,FERC,CP07-457,3/11/2010,2008,01/01/2008,58,2,95,36,
FGT East Leg Expansion,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP07-82,6/26/2009,2008,01/01/2008,16,7,10,30,
Gulfstream Pipeline Phase 3b,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-06-014,7/8/2010,2008,01/01/2008,112,34,160,30,
Gulfstream Pipeline Phase 3a,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-06-014,6/26/2009,2008,01/01/2008,129,34,185,30,
GS Texas to Mississippi Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,"LA,MS","Southwest,Southeast",FERC,CP06-446,7/29/2010,2008,01/01/2008,961,243,1700,"42,36",
GS Southeast Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,"MS,AL,AL",Southeast,FERC,CP07-32,6/26/2009,2008,01/01/2008,1296,111,1272,42,
GS Mobile Compressor Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP07-396,6/26/2009,2008,01/01/2008,23,,250,,
GS Gulf Crossing Mississippi Loop,Gulf South Pipeline,Expansion,Interstate,Completed,MS,Southeast,FERC,CP07-401,6/26/2009,2008,01/01/2008,25,18,1000,42,
Dominion Cove Point PL 2008 Expansion,Dominion Cove Point LNG PL Co,Expansion,Interstate,Completed,"MD,VA",Northeast,FERC,CP05-132,6/26/2009,2008,01/01/2008,160,48,800,36,
Freeport LNG Pipeline,Freeport LNG Development LP,Expansion,Interstate,Completed,TX,Southwest,FERC,CP03-75,6/26/2009,2008,01/01/2008,18,10,1750,42,
Brazoria Interconnector Gas Pipeline,Freeport LNG Development LP,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,56,30,2600,42,
Gulfstream Bayside Lateral,Tampa Electric Co,Lateral,Intrastate,Completed,FL,Southeast,State,na,6/26/2009,2008,01/01/2008,30,28,200,24,
WB East/West Mondak Subsystem Expansion,Williston Basin Interstate PL,Expansion,Interstate,Completed,"WY,ND",Central,FERC,CP08-154,6/26/2009,2008,01/01/2008,7,,41,,
Algonquin Ramapo Expansion,Algonquin Gas Transmission,Lateral,Interstate,Completed,"NJ,CT",Northeast,FERC,CP06-76,6/26/2009,2008,01/01/2008,192,5,325,42,
TCPL 2008 Eastern Service Expansion,TransCanada Pipeline LTD,Expansion,Interstate,Completed,"QU,VT","Canada,Northeast",NEB of Canada,na,6/26/2009,2008,01/01/2008,15,4,10,12,
Transco Sentinel Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"PA,NJ",Northeast,FERC,CP08-31,6/26/2009,2008,01/01/2008,33,4,40,42,
TW San Juan Lateral Expansion,Transwestern Pipeline Co,Expansion,Interstate,Completed,NM,Southwest,FERC,CP06-459,6/26/2009,2008,01/01/2008,107,25,375,36,
Trunkline Field Zone Expansion II,Trunkline Gas Co,Expansion,Interstate,Completed,TX,Southwest,FERC,CP08-99,6/26/2009,2008,01/01/2008,23,7,95,36,
Trunkline Kaplan-to-Henry Hub (NTX) Extension,Trunkline Gas Co,Expansion,Interstate,Completed,LA,Southwest,FERC,CP06-452,6/26/2009,2008,01/01/2008,20,14,625,36,
Tuscarora 2008 Sys Expansion,Tuscarora Pipeline Co,Lateral,Interstate,Completed,"NV,CA",Western,FERC,CP07-27,6/26/2009,2008,01/01/2008,17,0,40,,
Union Gas 2008 Expansion,Union Gas LTD,Expansion,Foreign,Completed,ON,Canada,NEB of Canada,na,6/26/2009,2008,01/01/2008,,,485,,
Sabine Pass LNG Line,Cheniere Creole Trail LLP,Expansion,Interstate,Completed,LA,Southwest,FERC,CP07-426,7/29/2010,2008,01/01/2008,350,16,2000,42,
We Hartford/Westend Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/2009,2008,01/01/2008,14,13,50,8,
MarkWest Lea County Expansion,MarkWest New Mexico LP,Expansion,Interstate,Completed,NM,Southwest,FERC,CP08-01,6/26/2009,2008,01/01/2008,3,3,110,16,
WB Sheyenne Expansion Project,Williston Basin Interstate PL,Expansion,Interstate,Completed,ND,Central,FERC,CP08-89,6/26/2009,2008,01/01/2008,8,1,11,8,
WPSC Chilton Lateral,Wisconsin Public Service Corp,Lateral,Intrastate,Completed,WI,Midwest,State,na,3/9/2010,2008,01/01/2008,1,1,50,4,
WPSC Denmark Lateral,Wisconsin Public Service Corp,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/2009,2008,01/01/2008,15,14,100,12,
WPSC Sheboygan/Plymouth Lateral,Wisconsin Public Service Corp,Lateral,Intrastate,Completed,WI,Midwest,State,na,7/22/2010,2008,01/01/2008,30,32,100,"16,12",
WIG Mainline Expansion,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP07-14,6/26/2009,2008,01/01/2008,22,,150,,
WIG Medicine Bow 08 Expansion,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,"WY,CO",Central,FERC,CP07-395,6/26/2009,2008,01/01/2008,32,,330,,
WIG Piceance Expansion Phase 1,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-403,7/8/2010,2008,01/01/2008,46,,50,,
CIG High Plains Project,Colorado Interstate Gas Co,New Pipeline,Interstate,Completed,CO,Central,FERC,CP07-207,1/22/2010,2008,01/01/2008,216,164,900,"30,24",
We Fox Valley Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/2009,2008,01/01/2008,15,13,100,"20,16,12",
CEGT Cove Compressor Station Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,AR,Southwest,FERC,CP07-437,6/26/2009,2008,01/01/2008,26,,200,,
CGT Henry Hub Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,na,6/26/2009,2008,01/01/2008,25,,230,,
CGT East Lateral Ryane Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP08-26,6/26/2009,2008,01/01/2008,18,,180,,
CGT Line A-5 Replacement,Columbia Gas Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP98-151,6/26/2009,2008,01/01/2008,,9,,30,
Cheyenne Plains Kirk Compressor Station,Cheyenne Plains Pipeline Co,Expansion,Interstate,Completed,"CO,KS",Central,FERC,CP07-128,6/26/2009,2008,01/01/2008,20,,90,36,
Cheniere Southern Trail Pipeline,Cheniere Energy,New Pipeline,Interstate,Completed,"LA,MS,AL",Southwest,FERC,CP05-357,7/29/2010,2008,01/01/2008,583,135,2000,"42,36",
Mississippi Hub Storage Phase 1,Mississippi Hub LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-4,6/26/2009,2008,01/01/2008,,11,1200,36,
Stagecoach North Lateral,Central New York Oil & Gas,Lateral,Interstate,Completed,NY,Northeast,FERC,CP06-64,6/26/2009,2008,01/01/2008,16,9,400,24,
Dominion TL-263 Expansion Project,Dominion Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP07-10,6/26/2009,2008,01/01/2008,15,6,21,"12,16",
TCPL 2008 Chippawa Expansion (Empire),TransCanada Pipeline LTD,Expansion,Interstate,Completed,"ON,NY","Canada,Northeast",NEB of Canada,na,6/26/2009,2008,01/01/2008,30,,130,,
CEGT Perryville Expansion Phase 3,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,"TX,LA",Southwest,FERC,CP07-41,6/26/2009,2008,01/01/2008,41,,316,,
Maritimes & Northeast Phase IV LNG Expansion,Maritimes & Northeast Pipeline,Expansion,Interstate,Completed,"NB,MA","Canada,Northeast",FERC,CP06-335,6/26/2009,2008,01/01/2008,321,2,420,30,
Tres Palacios Storage Lateral,NGS Investments LLC,Lateral,Interstate,Completed,TX,Southwest,FERC,CP07-90,7/22/2010,2008,01/01/2008,60,42,2500,36,
Neptune LNG Lateral,Neptune LNG LLC,Lateral,Interstate,Completed,MA,Northeast,Coast Guard,na,6/26/2009,2008,01/01/2008,23,13,750,24,
NGPL Louisiana/Gulf Coast Line Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,"TX,LA",Southwest,FERC,CP07-03,6/26/2009,2008,01/01/2008,69,5,200,36,
Monroe Storage Field TETCO Lateral,Monroe Gas Storage Co. LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-406,6/26/2009,2008,01/01/2008,42,23,465,24,
TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Interstate,Completed,"OH,WV,PA,NJ",Northeast,FERC,CP06-115,6/26/2009,2008,01/01/2008,54,10,150,36,
TGT Fayetteville Lateral Phase 1,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,AR,Southwest,FERC,CP07-417,6/26/2009,2008,01/01/2008,205,66,967,"36,18",
MidWest 2006 Eastern Extension Project,Midwestern Gas Transmission Co,Expansion,Interstate,Completed,TN,Southeast,FERC,CP05-372,6/26/2009,2008,01/01/2008,26,31,120,16,
Jamestown Pipeline,MichCon Energy Co,Expansion,Intrastate,Completed,MI,Midwest,State,na,6/26/2009,2008,01/01/2008,80,16,120,30,
ET Carthage Loop Expansion,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,94,32,500,42,
CEGT Replacement Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,AR,Southwest,FERC,CP07-404,6/26/2009,2008,01/01/2008,18,25,,24,
Bobcat Storage Lateral,Port Barre Investments LLC,Lateral,Interstate,Completed,LA,Southwest,FERC,CP06-66/67/68,6/26/2009,2008,01/01/2008,30,20,1200,"20,16,12",
Ozark Standing Rock Compressor,Ozark Gas Transmission Co,Expansion,Interstate,Completed,AR,Southwest,FERC,CP08-20,6/26/2009,2008,01/01/2008,19,,100,,
Cameron Interstate Pipeline,Sempra Energy Inc,Expansion,Interstate,Completed,LA,Southwest,FERC,CP05-119,6/26/2009,2008,01/01/2008,115,36,2350,42,
White River Header Pipeline,Questar Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,CP08-398,6/26/2009,2008,01/01/2008,58,6,2565,30,
SONAT Cypress 2008 Phase 2,Southern Natural Gas Co,Expansion,Interstate,Completed,GA,Southeast,FERC,CP05-388,6/26/2009,2008,01/01/2008,21,,100,,
NNG West Leg II Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,NE,Central,FERC,CP08-97,6/26/2009,2008,01/01/2008,9,12,11,"30,8",
Questar Greesewood/Meeker Expansion,Questar Pipeline,Expansion,Interstate,Completed,"UT,CO",Central,FERC,na,6/26/2009,2008,01/01/2008,12,,75,24,
Southern Pines Florida/Transco Line,SGR Holding Corporation,New Pipeline,Interstate,Completed,"MS,AL",Southeast,FERC,CP02-229,7/22/2010,2008,01/01/2008,52,26,1000,24,
South Texas Flashing/Tilden Expansion,Regency Intrastate Pipeline Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,30,20,50,10,
NNG East Leg I Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,IA,Central,FERC,CP08-95,6/26/2009,2008,01/01/2008,7,8,13,"30,8,6",
Tuscola East Replacement Project,Panhandle Eastern Pipeline Co,Expansion,Interstate,Completed,"IN,OH",Midwest,FERC,CP06-428,6/26/2009,2008,01/01/2008,56,31,500,30,
Southeast Supply Header Pipeline,Southeast Supply Header LLC,New Pipeline,Interstate,Completed,"LA,AL","Southwest,Southeast",FERC,CP07-44,6/26/2009,2008,01/01/2008,842,270,1140,"42,36",
Southern Pines Destin Line,SGR Holding Corporation,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP02-229,6/26/2009,2008,01/01/2008,6,3,1000,24,
Line 57C Lateral,Pacific Gas and Electric Co,Lateral,Intrastate,Completed,CA,Western,State,na,6/26/2009,2007,01/01/2007,30,6,100,24,
Eastern Shore 2007 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP06-53,6/26/2009,2007,01/01/2007,8,11,10,"16,10",
Bossier Loop Phase 2,Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/2009,2007,01/01/2007,5,,100,,
Tenneco Triple-T Extension,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,GM,Gulf of Mexico,FERC,CP05-416,6/26/2009,2007,01/01/2007,22,6,200,24,
NWPL Parachute Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP06-45,6/26/2009,2007,01/01/2007,58,38,450,30,
Paiute 2007 Expansion,Paiute Pipeline,Expansion,Interstate,Completed,NV,Western,FERC,na,6/26/2009,2007,01/01/2007,5,4,9,20,
ET Barnett-Texoma Expansion Phase 3,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2007,01/01/2007,360,135,700,42,
PE Liberal 100-line Bi-directional Project,Panhandle Eastern Pipeline Co,Expansion,Interstate,Completed,KS,Central,FERC,CP06-50,6/26/2009,2007,01/01/2007,5,,160,24,
Enbridge Marquez Plant Line,Enbridge Energy Pipeline Co,Lateral,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2007,01/01/2007,65,56,250,24,
Tenneco Deepwater Link Project,Tennessee Gas Pipeline Co,New Pipeline,Interstate,Completed,GM,Gulf of Mexico,FERC/MMS,CP05-100,6/26/2009,2007,01/01/2007,40,1,1000,"24,20",
Union Gas 2007 Expansion,Union Gas LTD,Expansion,Foreign,Completed,ON,Canada,NEB of Canada,na,6/26/2009,2007,01/01/2007,80,11,488,,
FGT Phase VII Phase 1,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP06-01,6/26/2009,2007,01/01/2007,64,17,95,36,
North LA Growth Project,Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/2009,2007,01/01/2007,17,,200,,
WB Grasslands Expansion II,Williston Basin Interstate PL,Expansion,Interstate,Completed,"MT,ND",Central,FERC,CP07-131,6/26/2009,2007,01/01/2007,6,,41,,
Northeast ConneXion-New England,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"NY,MA",Northeast,FERC,CP05-412,6/26/2009,2007,01/01/2007,111,,136,24,
Rendezvous Black Fork Lateral,Rendezvous Gas Services,Lateral,Interstate,Completed,WY,Central,FERC,CP05-40,7/8/2010,2007,01/01/2007,11,21,330,20,
Sabine Henry Hub Expansion,Sabine Pipeline LLC,Lateral,Interstate,Completed,"TX,LA",Southwest,FERC,EM06-05,6/26/2009,2007,01/01/2007,16,,50,,
KB Pipeline Expansion,KB Pipeline Co,Lateral,Interstate,Completed,OR,Western,FERC,CP01-421,6/26/2009,2007,01/01/2007,1,0,,20,
SONAT North Main Loop Replacement,Southern Natural Gas Co,Expansion,Interstate,Completed,AL,Southeast,FERC,CP07-28,6/26/2009,2007,01/01/2007,10,10,,,
CEGT Perryville Expansion Phase I & 2,Centerpoint Energy Gas Transmission,New Pipeline,Interstate,Completed,"TX,LA",Southwest,FERC,CP06-85,6/26/2009,2008,01/01/2007,425,172,1237,42,
TransColorado Blanco-to-Meeker Expansion,TransColorado Pipeline,Expansion,Interstate,Completed,"NM,CO","Southwest,Central",FERC,CP06-401,6/26/2009,2007,01/01/2007,58,0,250,"24,16",
Transco Leidy to Long Island Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"PA,NJ,NY",Northeast,FERC,CP06-34,6/26/2009,2007,01/01/2007,162,15,100,,
Algonquin Cape Cod Lateral,Algonquin Gas Transmission,Lateral,Interstate,Completed,MA,Northeast,FERC,CP06-143,6/26/2009,2007,01/01/2007,15,4,38,18,
Algonquin Northeast Gateway LNG,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP05-383,6/26/2009,2007,01/01/2007,180,16,800,24,
Transco Potomac Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"NC,MD","Southeast,Northeast",FERC,CP06-421,6/26/2009,2007,01/01/2007,76,19,165,"42,30",
Wamsutter Expansion Project,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP06-423,6/26/2009,2007,01/01/2007,202,77,750,36,
Odessa-Ector Power Pipeline,Aspen Pipeline LP,Lateral,Intrastate,Completed,TX,Southwest,State,na,7/8/2010,2007,01/01/2007,90,65,30,20,
NGPL North Lansing Loop,Nat Gas P L Co of America,Lateral,Interstate,Completed,TX,Southwest,FERC,CP05-405,6/26/2009,2007,01/01/2007,10,9,140,30,
Pine Prairie Storage Laterals,Pine Prairie Storage Co,Lateral,Interstate,Completed,LA,Southwest,FERC,CP04-379,6/26/2009,2007,01/01/2007,75,43,600,24,
CEGT Elm Grove Supply Expansion,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP06-168,6/26/2009,2007,01/01/2007,18,18,140,12,
CrossTex LIG Extension,Crosstex Energy Services,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/2009,2007,01/01/2007,90,74,200,"24,16",
TETCO TIME II Expansion Phase 1,Texas Eastern Transmission,Expansion,Interstate,Completed,"PA,WV,NJ",Northeast,FERC,CP06-115,6/26/2009,2007,01/01/2007,117,22,150,36,
Vector 2007 Phase 1 Expansion,Vector Pipeline,Expansion,Interstate,Completed,"IL,IN,MI,ON","Midwest,Canada",FERC,CP06-29,6/26/2009,2007,01/01/2007,70,,245,42,
SONAT Cypress 2007 Phase 1,Southern Natural Gas Co,New Pipeline,Interstate,Completed,"GA,FL",Southeast,FERC,CP05-388,6/26/2009,2007,01/01/2007,240,167,335,24,
CIG Raton Basin 2007 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,"CO,KS,OK","Central,Southwest",FERC,CP07-103,6/26/2009,2007,01/01/2007,12,11,29,,
Trunkline North Texas 2007 Expansion,Trunkline Gas Co,Expansion,Interstate,Completed,"TX,LA",Southwest,FERC,CP06-452,6/26/2009,2007,01/01/2007,179,45,625,36,
Southwest Delaware County Extension,Columbia Gas of Ohio,Expansion,Intrastate,Completed,OH,Northeast,State,na,6/26/2009,2007,01/01/2007,14,10,100,16,
CGT Hardy Storage Lateral,Columbia Gas Transmission,Lateral,Interstate,Completed,WV,Northeast,FERC,CP05-150,6/26/2009,2007,01/01/2007,49,13,175,20,
CGT Hardy Storage Pipeline Expansion,Columbia Gas Transmission,Lateral,Interstate,Completed,"VA,MD",Northeast,FERC,CP05-144/PF04-14,6/26/2009,2007,01/01/2007,55,34,175,24,
DTE Shelby Pipeline,DTE Energy Inc,New Pipeline,Intrastate,Completed,MI,Midwest,State,MSPC U-15149,3/9/2010,2007,01/01/2007,5,5,100,20,
Questar Southern System Expansion to Goshen,Questar Pipeline,Expansion,Interstate,Completed,UT,Central,FERC,CP07-25,6/26/2009,2007,01/01/2007,108,59,175,24,
WIG Kanda Lateral Phase 1,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,"UT,WY",Central,FERC,CP07-14,6/26/2009,2007,01/01/2007,61,52,406,24,
CrossTex North Texas 2007 Expansion,Crosstex Energy Services,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2007,01/01/2007,20,,125,24,
CEGT Harrison Supply Lateral Expansion,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,TX,Southwest,FERC,EM06-05,6/26/2009,2007,01/01/2007,13,14,60,16,
KM Rockies Express (Entrega) Phase 2,Rockies Express Pipeline,Expansion,Interstate,Completed,"CO,WY",Central,FERC,CP04-413,6/26/2009,2007,01/01/2007,160,,750,,
Falcon Worsham-Steed Storage Pipeline,NorTex Gas Storage LLC,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2007,01/01/2007,60,63,450,24,
North Baja Pipeline Expansion Phase I,North Baja Pipeline LLC,Expansion,Interstate,Completed,"MX,CA,AZ","Mexico,Western",FERC,CP06-61,6/26/2009,2008,01/01/2007,4,2,614,"48,42",
KM Chicago Pipeline,Kinder Morgan Illinois PL Co,New Pipeline,Interstate,Completed,IL,Midwest,FERC,CP06-455,6/26/2009,2007,01/01/2007,13,3,360,24,
SSTAR Waynoka Lateral,Southern Star Central PL Co,Lateral,Interstate,Completed,OK,Southwest,FERC,na,6/26/2009,2007,01/01/2007,11,15,175,20,
NNG Northern Lights Project,Northern Natural Gas Co,Expansion,Interstate,Completed,"IA,MN",Central,FERC,CP06-403,6/26/2009,2007,01/01/2007,129,79,374,"36,26,16",
NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,"KS,SD,NE,IA",Central,FERC,CP06-433,6/26/2009,2007,01/01/2007,9,6,44,,
KM REX Processing Plant Lateral,Kinder Morgan Inc,Lateral,Interstate,Completed,WY,Central,FERC,CP07-383,6/26/2009,2007,01/01/2007,15,3,150,16,
WIG Kanda Lateral Phase 2,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,"UT,WY",Central,FERC,CP07-14,6/26/2009,2007,01/01/2007,60,72,,24,
KM Rockies Express (Entrega) Phase 1 Seg 2,Rockies Express Pipeline,New Pipeline,Interstate,Completed,"WY,CO",Central,FERC,CP04-413,6/26/2009,2007,01/01/2007,400,192,750,42,
FGT Turkey Point Lateral,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP05-64,6/26/2009,2006,01/01/2006,20,0,100,24,
Lodi (Kirby Hills) Lateral,Lodi Storage Inc,Lateral,Intrastate,Completed,CA,Western,State,na,6/26/2009,2006,01/01/2006,11,6,50,24,
ET Barnett-Texoma Expansion Phase 2,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,65,32,500,42,
Liberty Storage Pipeline,Liberty Gas Storage LLC,Lateral,Interstate,Completed,LA,Southwest,FERC,CP05-94,7/21/2010,2006,01/01/2006,30,23,1000,30,
Dominion Northeast TL-527 Line Project,Dominion Transmission,Lateral,Interstate,Completed,"WV,PA,NY",Northeast,FERC,CP04-365,6/26/2009,2006,01/01/2006,31,24,200,"20,16,8",
Bossier Loop Phase 1,Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/2009,2006,01/01/2006,25,16,100,24,
ETenn Jewell Ridge Lateral,East Tennessee Nat Gas Co,Lateral,Interstate,Completed,VA,Northeast,FERC,CP05-413,6/26/2009,2006,01/01/2006,53,32,235,20,
Eastern Shore 2006 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP06-53,6/26/2009,2006,01/01/2006,17,35,26,"16,10,6",
Freebird Gas Storage Line,Freebird Gas Storage LLC,Lateral,Interstate,Completed,AL,Southeast,FERC,CP05-29,6/26/2009,2006,01/01/2006,8,4,250,16,
CrossTex North Texas Pipeline,Crosstex Energy Services,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,115,140,250,24,
Union Gas 2006 Expansion,Union Gas LTD,Expansion,Foreign,Completed,ON,Canada,NEB of Canada,na,6/26/2009,2006,01/01/2006,120,22,372,,
ET Mayprearl to Mansfield Line,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,48,24,400,24,
KM Rockies Express (Entrega) Phase 1 Seq 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,"CO,WY",Central,FERC,CP04-413,6/26/2009,2006,01/01/2006,180,136,750,36,
ET Forth Worth Basin Looping,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,32,24,400,24,
ETenn Piedmont Project,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,"TN,VA,VA","Southeast,Northeast",FERC,CP01-415,6/26/2009,2006,01/01/2006,16,13,20,24,
NGPL A/G Line Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,TX,Southwest,FERC,na,6/26/2009,2006,01/01/2006,16,,139,30,
TransColorado North Expansion Project,TransColorado Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,CP05-45,6/26/2009,2006,01/01/2006,16,,300,"24,12",
WIG Piceance Line,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,"CO,WY",Central,FERC,CP05-54,6/26/2009,2006,01/01/2006,136,142,350,24,
Northern Border Chicago Expansion III,Northern Border Pipeline,Expansion,Interstate,Completed,"IA,IL,IN","Central,Midwest",FERC,CP05-88,6/26/2009,2006,01/01/2006,21,,130,,
TGT West Greenville-Elkton Lateral,Texas Gas Transmission Co,Expansion,Interstate,Completed,KY,Southeast,FERC,CP06-22,6/26/2009,2006,01/01/2006,14,28,80,"12,10",
Overthrust Extension,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP06-167,6/26/2009,2006,01/01/2006,52,27,550,36,
Heartland Pipeline,ProLiance Energy LLC,New Pipeline,Intrastate,Completed,IN,Midwest,State,na,6/26/2009,2006,01/01/2006,17,25,80,16,
ANR Wisconsin 2006 Expansion Project,ANR Pipeline,Expansion,Interstate,Completed,"MI,WI",Midwest,FERC,CP05-364,6/26/2009,2006,01/01/2006,48,7,168,"30,16",
Atmos/Enbridge X-Line Expansion,Atmos Energy Inc,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,20,,150,36,
CrossTex Azle Gas Plant Header,Crosstex Energy Services,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2006,01/01/2006,20,30,55,16,
